/Idpi/M7/S (vgsp_il=0.4) X,/Idpi/M7/S (vgsp_il=0.4) Y,/Idpi/M7/S (vgsp_il=0.4519324) X,/Idpi/M7/S (vgsp_il=0.4519324) Y,/Idpi/M7/S (vgsp_il=0.5106072) X,/Idpi/M7/S (vgsp_il=0.5106072) Y,/Idpi/M7/S (vgsp_il=0.5768998) X,/Idpi/M7/S (vgsp_il=0.5768998) Y,/Idpi/M7/S (vgsp_il=0.6517993) X,/Idpi/M7/S (vgsp_il=0.6517993) Y,/Idpi/M7/S (vgsp_il=0.736423) X,/Idpi/M7/S (vgsp_il=0.736423) Y,/Idpi/M7/S (vgsp_il=0.8320335) X,/Idpi/M7/S (vgsp_il=0.8320335) Y,/Idpi/M7/S (vgsp_il=0.9400572) X,/Idpi/M7/S (vgsp_il=0.9400572) Y,/Idpi/M7/S (vgsp_il=1.062106) X,/Idpi/M7/S (vgsp_il=1.062106) Y,/Idpi/M7/S (vgsp_il=1.2) X,/Idpi/M7/S (vgsp_il=1.2) Y
10.01000302147776,2.538879826403445e-10,10.01000302129312,-3.512321321289209e-11,10.01000302097296,4.462276352983712e-10,10.01000302078686,1.099773359192413e-09,10.01000302028689,4.804736582247564e-09,10.01000302034201,1.300817310350443e-08,10.0100030188507,1.658361446436842e-08,10.01000301892589,1.722994403115503e-08,10.01000301850385,1.6202455377675e-08,10.01000301848472,1.758192639069109e-08
10.01000302156812,3.878770883502793e-10,10.01000302132075,-8.544080306980882e-10,10.01000302102675,4.85957492817049e-10,10.01000302090888,1.126153279643964e-09,10.01000302037752,4.821626291749874e-09,10.01000302043502,1.30277042072666e-08,10.01000301886349,1.68223660115368e-08,10.01000301893976,1.729608000979289e-08,10.01000301851914,1.657850693144545e-08,10.01000301849868,1.795114072156463e-08
10.01000302162028,4.752352220207419e-10,10.01000302134341,-2.225188661426808e-09,10.01000302109937,4.593517623391589e-10,10.01000302104945,1.182213364357378e-09,10.01000302046048,4.835101171305299e-09,10.01000302051829,1.304371264230922e-08,10.01000301887604,1.697519917647799e-08,10.0100030189554,1.728240019564958e-08,10.0100030185351,1.700650594181496e-08,10.01000301851151,1.824759520317031e-08
10.01000302168108,3.838618453143191e-10,10.01000302136101,-3.962792230311404e-09,10.01000302113255,2.705702213700077e-10,10.01000302109022,1.182346320380096e-09,10.01000302054656,4.84489463478887e-09,10.0100030206033,1.30549820436952e-08,10.01000301888954,1.70521675904066e-08,10.01000301897369,1.718514534697708e-08,10.01000301854908,1.737493528716663e-08,10.01000301852411,1.846981705400971e-08
10.01000302171042,3.783715549432984e-11,10.01000302137862,-6.167080242207821e-09,10.01000302116513,-3.139763277969945e-10,10.01000302114212,1.032790744674669e-09,10.01000302064781,4.856357087504974e-09,10.01000302070155,1.306664882769496e-08,10.01000301890483,1.705035868109084e-08,10.01000301899656,1.699400870667186e-08,10.01000301856191,1.767038889276596e-08,10.01000301853684,1.861236806057628e-08
10.01000302174054,-9.610785152275665e-10,10.0100030213977,-8.249485250580241e-09,10.0100030211915,-1.417131096710388e-09,10.01000302116856,7.587693220007422e-10,10.01000302077316,4.881359073233467e-09,10.01000302082368,1.309118432375447e-08,10.01000301892259,1.696551686000662e-08,10.01000301902966,1.666932351851624e-08,10.01000301857451,1.789169749933404e-08,10.01000301855076,1.867927010674852e-08
10.01000302176403,-2.634518640825482e-09,10.01000302141747,-9.063802237046376e-09,10.01000302121078,-2.844062911151486e-09,10.01000302119634,9.055794553418537e-11,10.0100030208672,4.915736668754064e-09,10.0100030209643,1.314424080527738e-08,10.01000301894456,1.678897169839618e-08,10.01000301906242,1.635306919072415e-08,10.01000301858723,1.803335989729842e-08,10.01000301856646,1.866561487982413e-08
10.01000302178183,-4.710696184928298e-09,10.01000302143579,-8.552994541693894e-09,10.01000302122788,-4.613049495413886e-09,10.01000302121907,-9.989491362180395e-10,10.01000302091881,4.925750082232406e-09,10.01000302100497,1.313454211564927e-08,10.01000301897619,1.64805954402758e-08,10.01000301909038,1.611497734821236e-08,10.01000301860114,1.809950042921404e-08,10.01000301858483,1.856744261160296e-08
10.01000302179945,-7.308653238881983e-09,10.01000302145329,-7.605347043234615e-09,10.01000302124656,-6.500463235664852e-09,10.0100030212367,-2.390778833580739e-09,10.01000302097983,4.786818387418231e-09,10.01000302105663,1.292443766588426e-08,10.01000301901007,1.61488607579313e-08,10.01000301911727,1.592533795247223e-08,10.01000301861683,1.808534550589515e-08,10.01000301860785,1.837390424130024e-08
10.01000302181842,-9.78742725928517e-09,10.01000302147408,-6.56447088977187e-09,10.01000302126589,-7.46583090710025e-09,10.01000302125429,-4.162251479228907e-09,10.01000302100934,4.491539092661116e-09,10.01000302108297,1.256100184535145e-08,10.01000301903844,1.590080242764463e-08,10.01000301914431,1.577476003573753e-08,10.01000301863519,1.798703353562316e-08,10.01000301864098,1.804710868748829e-08
