/vpos_gain_ninv X,/vpos_gain_ninv YRe,/vpos_gain_ninv YReImag,/vpos_gain_ninv_cm X,/vpos_gain_ninv_cm YRe,/vpos_gain_ninv_cm YReImag
1.258925411794169,141.2758189346838,-0.08260770977164193,1.258925411794169,138.031731758122,17.32857284893456
1.333521432163326,141.2758017074251,-0.08802114644930494,1.333521432163326,138.2672577887759,16.37731460682976
1.412537544622756,141.2757848527007,-0.09372628744752927,1.412537544622756,138.4778474204867,15.47430666768835
1.496235656094435,141.2757681469684,-0.09974205069866691,1.496235656094435,138.6660752448782,14.6174896093589
1.584893192461116,141.2757513689852,-0.1060883824465422,1.584893192461116,138.8342633190126,13.80481475919928
1.678804018122563,141.2757342966148,-0.1127863235488671,1.678804018122563,138.9845031796951,13.03425858117391
1.778279410038925,141.2757167030465,-0.1198580793750349,1.778279410038925,139.1186765244702,12.3038341267874
1.883649089489803,141.2756983552477,-0.1273270935389605,1.883649089489803,139.2384745052282,11.61159998558695
1.995262314968882,141.2756790097426,-0.1352181257095578,1.995262314968882,139.3454156157579,10.95566711813505
2.113489039836649,141.2756584102612,-0.1435573337652203,2.113489039836649,139.4408621959519,10.33420390688913
2.238721138568343,141.2756362834911,-0.1523723605624122,2.238721138568343,139.526035590423,9.745439715561661
2.371373705661658,141.2756123357512,-0.1616924256116352,2.371373705661658,139.6020300219843,9.187667208330488
2.511886431509583,141.2755862491089,-0.1715484219643072,2.511886431509583,139.6698252468794,8.659243644452273
2.660725059798813,141.2755576777472,-0.1819730186341627,2.660725059798813,139.7302980672883,8.158591332663732
2.818382931264457,141.2755262425222,-0.1930007688897998,2.818382931264457,139.7842327768938,7.6841974020657
2.985382618917963,141.2754915265144,-0.2046682247824626,2.985382618917963,139.8323306207471,7.234613022495048
3.162277660168383,141.2754530686414,-0.2170140582833481,3.162277660168383,139.8752183438193,6.808452186231964
3.349654391578281,141.2754103592706,-0.2300791894396261,3.349654391578281,139.9134559069603,6.404390145309567
3.548133892335759,141.2753628308771,-0.2439069219583689,3.548133892335759,139.9475434348522,6.021161582704877
3.758374042884447,141.2753098533917,-0.2585430866879433,3.758374042884447,139.9779274730559,5.657558583278634
3.981071705534978,141.2752507238337,-0.2740361934474263,3.981071705534978,140.0050066071349,5.312428458106396
4.216965034285828,141.2751846575596,-0.2904375917218673,4.216965034285828,140.0291365100122,4.984671467076886
4.466835921509636,141.2751107775707,-0.3078016407451748,4.466835921509636,140.0506344685036,4.673238475999281
4.73151258961481,141.2750281040294,-0.3261858895374055,4.73151258961481,140.0697834413015,4.377128577823211
5.011872336272728,141.2749355398238,-0.3456512674766858,5.011872336272728,140.0868356902405,4.095386701560011
5.308844442309889,141.2748318565879,-0.3662622860457344,5.308844442309889,140.1020160311924,3.827101227906818
5.623413251903497,141.2747156784079,-0.3880872524079625,5.623413251903497,140.1155247400707,3.571401626236868
5.956621435290111,141.2745854644307,-0.4111984955186632,5.956621435290111,140.1275401498635,3.327456124329432
6.309573444801939,141.2744394861224,-0.4356726054954425,6.309573444801939,140.1382209659379,3.094469419225499
6.683439175686153,141.2742758069246,-0.4615906870625498,6.683439175686153,140.1477083357486,2.871680435503571
7.079457843841386,141.2740922548421,-0.4890386278595178,7.079457843841386,140.1561276892438,2.658360134895191
7.498942093324565,141.2738863944902,-0.5181073825162185,7.498942093324565,140.163590379598,2.453809379906164
7.943282347242823,141.2736554947888,-0.5488932734035359,7.943282347242823,140.1701951413322,2.257356852532174
8.41395141645196,141.2733964915827,-0.5814983090313847,8.41395141645196,140.1760293838495,2.068357028139836
8.912509381337465,141.2731059484373,-0.6160305211440579,8.912509381337465,140.1811703404459,1.886188203731749
9.440608762859243,141.2727800107686,-0.6526043215772005,9.440608762859243,140.185686083104,1.710250578957586
